item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q23071144,Q23071144$998A8794-EF7B-4111-BE78-9CA88623C02A,P569,+1926-06-23T00:00:00Z,,+1928-06-29T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb13930023d,statement
Q350678,q350678$93CF5933-DBD9-4D55-8576-67717423743A,P569,+1908-12-13T00:00:00Z,,+1910-12-13T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/44771,statement
Q724483,Q724483$00A23DED-53F1-4B14-99B8-6C1E5B9F910D,P569,+1900-03-10T00:00:00Z,,+1896-03-10T00:00:00Z,https://www.findagrave.com/memorial/4017,statement
Q432938,q432938$A9C24450-FFCE-4961-A8D6-8FEFD40A0C9F,P569,+1875-01-01T00:00:00Z,,+1874-08-09T00:00:00Z,http://imslp.org/wiki/Category:Hahn%2C_Reynaldo,statement
Q6028507,q6028507$C5A8C309-B427-4AE8-A356-5C362261D746,P569,+1847-11-15T00:00:00Z,,+1849-11-15T00:00:00Z,https://www.britannica.com/biography/James-ONeill,statement
Q359207,q359207$5ab920b1-43a2-c562-b998-5b7f3745b0c0,P569,+1962-10-24T00:00:00Z,,+1960-10-24T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/69472,statement
Q6308811,Q6308811$360BFD1D-C28B-4702-918C-17645CF6E985,P569,+1933-03-21T00:00:00Z,,+1937-03-21T00:00:00Z,https://www.discogs.com/artist/3457837,statement
Q466539,Q466539$D788F0FB-6A30-43B4-89D7-D87D1E4C5478,P569,+1914-11-11T00:00:00Z,,+1917-11-13T00:00:00Z,http://snaccooperative.org/ark:/99166/w6mg7vf2,statement
Q305330,Q305330$82E4F482-371A-4E74-8201-1FC4E30C8F19,P569,+1906-06-18T00:00:00Z,,+1909-06-18T00:00:00Z,https://doi.org/10.1093/gmo/9781561592630.article.J032100,statement
Q2295154,Q2295154$2936223C-99AA-4936-8D2F-CCC431E90F69,P569,+1930-11-12T00:00:00Z,,+1931-11-12T00:00:00Z,https://catalogue.bnf.fr/ark:/12148/cb14013997b,statement
Q62558,Q62558$04BE8E53-4874-4FC4-B3DF-73BB5BEC4846,P569,+1922-03-08T00:00:00Z,,+1921-03-08T00:00:00Z,https://www.mymovies.it/persone/-/5321,statement
Q448141,Q448141$674FE69D-CF11-476A-A838-EB08FD17EF44,P569,+1962-03-10T00:00:00Z,,+1964-03-10T00:00:00Z,https://www.musik-sammler.de/artist/jasmine-guy,statement
Q2708193,q2708193$E8CB9C46-4BD7-478B-95FD-CB4AEF069881,P569,+1904-07-10T00:00:00Z,,+1901-07-19T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/91584,statement
Q93354,q93354$E265E0F6-5A55-42E1-BB21-9F2B72C4CB67,P569,+1897-09-24T00:00:00Z,,+1896-09-24T00:00:00Z,https://www.ltit.it/scheda/persona/fitzgerald-francis-scott__9804,statement
Q983339,q983339$761DD560-E861-48A9-A708-5A6A01058255,P569,+1863-07-24T00:00:00Z,,+1853-07-24T00:00:00Z,http://snaccooperative.org/ark:/99166/w6sf2xqs,statement
Q946300,Q946300$EB281E5F-4A70-4657-A64C-8D7963D16131,P569,+1859-00-00T00:00:00Z,,+1857-10-11T00:00:00Z,http://imslp.org/wiki/Category:Cain%2C_Henri,statement
Q235103,q235103$25E64A5A-A3B4-461B-82F4-61B852CFD1A2,P569,+1913-09-19T00:00:00Z,,+1914-09-09T00:00:00Z,https://indyencyclopedia.org/frances-farmer/,statement
Q8564024,Q8564024$80F4656A-E01C-4F56-B0EA-B93D2489FAE9,P569,+1887-04-14T00:00:00Z,,+1885-04-14T00:00:00Z,https://www.discogs.com/artist/826053,statement
Q224356,q224356$57421EA9-88C3-4C30-AA6F-0BA2C6906049,P569,+1927-03-21T00:00:00Z,,+1926-03-21T00:00:00Z,http://snaccooperative.org/ark:/99166/w6v549mm,statement
Q433709,Q433709$DBFBA487-4C2B-492F-A765-140633F7A5A6,P569,+1908-09-23T00:00:00Z,,+1907-09-23T00:00:00Z,https://www.filmovyprehled.cz/cs/person/4852,statement
Q222390,q222390$94616B7B-5341-415B-B7A8-7365DE1418D4,P569,+1717-02-19T00:00:00Z,,+1716-02-20T00:00:00Z,https://www.findagrave.com/memorial/6174,statement
Q27830726,Q27830726$67D0731E-7C06-4D50-90B4-470C68473DFB,P569,+1888-02-21T00:00:00Z,,+1886-02-21T00:00:00Z,https://www.ibdb.com/broadway-cast-staff/11317,statement
Q2786048,Q2786048$DFB90D2E-8468-4A29-9B44-8EA79B5400D9,P569,+1924-12-14T00:00:00Z,,+1923-12-14T00:00:00Z,https://www.fandango.com/people/wd-77494,statement
Q5287931,Q5287931$90A37275-F8F8-4572-91A4-1521CDC03891,P569,+1931-01-01T00:00:00Z,,+1933-03-13T00:00:00Z,https://www.thecanadianencyclopedia.ca/en/article/dodi-protero-emc/,statement
Q499063,Q499063$32FA4C6C-52D7-4E1F-8A3A-9088ACE22555,P569,+1922-05-02T00:00:00Z,,+1925-05-02T00:00:00Z,https://www.findagrave.com/memorial/18881414,statement
Q5026593,Q5026593$3EA96E17-B22E-4D5E-A205-6568E0645A41,P569,+1961-07-12T00:00:00Z,,+1962-06-12T00:00:00Z,https://www.fandango.com/people/wd-603165,statement
Q207506,q207506$082EDAEE-0D42-43B7-9304-C26C74278AD6,P569,+1960-02-22T00:00:00Z,,+1959-02-22T00:00:00Z,https://www.fandango.com/people/wd-417736,statement
Q317631,q317631$87A2E279-49F9-4023-82C7-55F1E27E3F65,P569,+1928-08-27T00:00:00Z,,+1929-08-27T00:00:00Z,https://www.fandango.com/people/wd-390979,statement
Q6223414,q6223414$5F3B3829-676F-49F3-8C96-7DF88F74786E,P569,+1810-01-01T00:00:00Z,,+1814-05-09T00:00:00Z,http://imslp.org/wiki/Category:Brougham%2C_John,statement
