item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q100202821,Q100202821,P577,1960-01-01T00:00:00Z,,1966-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL8704115W,statement
Q1002362,Q1002362,P577,1866-01-01T00:00:00Z,,2015-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL14869543W,statement
Q100263968,Q100263968,P577,1992-09-01T00:00:00Z,,1992-08-01T00:00:00+00:00Z,https://openlibrary.org/works/OL8124866W,statement
Q100264023,Q100264023,P577,1992-01-01T00:00:00Z,,1992-11-01T00:00:00+00:00Z,https://openlibrary.org/works/OL8124862W,statement
Q100264184,Q100264184,P577,1994-01-01T00:00:00Z,,1994-03-01T00:00:00+00:00Z,https://openlibrary.org/works/OL3490914W,statement
Q1002647,Q1002647,P577,2006-10-01T00:00:00Z,,1993-07-01T00:00:00+00:00Z,https://openlibrary.org/works/OL8688184W,statement
Q1003234,Q1003234,P577,1985-01-01T00:00:00Z,,1984-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL2463054W,statement
Q100387696,Q100387696,P577,1984-01-01T00:00:00Z,,2003-12-03T00:00:00+00:00Z,https://openlibrary.org/works/OL2547319W,statement
Q1004005,Q1004005,P577,1996-01-01T00:00:00Z,,1973-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL15101239W,statement
Q1004005,Q1004005,P577,1996-12-19T00:00:00Z,,1973-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL15101239W,statement
Q100635332,Q100635332,P577,1918-01-01T00:00:00Z,,2018-12-19T00:00:00+00:00Z,https://openlibrary.org/works/OL22662641W,statement
Q100635524,Q100635524,P577,1922-01-01T00:00:00Z,,2017-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL20077506W,statement
Q100899081,Q100899081,P577,2018-01-01T00:00:00Z,,2018-01-31T00:00:00+00:00Z,https://openlibrary.org/works/OL20558538W,statement
Q101050336,Q101050336,P577,0943-01-01T00:00:00Z,,1892-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL1614215W,statement
Q1010653,Q1010653,P577,1984-09-01T00:00:00Z,,1795-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL59684W,statement
Q101097639,Q101097639,P577,1958-01-01T00:00:00Z,,1960-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL33675431W,statement
Q101199275,Q101199275,P577,1928-01-01T00:00:00Z,,1971-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL2501299W,statement
Q101203153,Q101203153,P577,1930-01-01T00:00:00Z,,1932-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL6406474W,statement
Q101437274,Q101437274,P577,2017-01-18T00:00:00Z,,2017-01-22T00:00:00+00:00Z,https://openlibrary.org/works/OL23081928W,statement
Q101488311,Q101488311,P577,1892-01-01T00:00:00Z,,1906-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL15746095W,statement
Q101582827,Q101582827,P577,1896-01-01T00:00:00Z,,1891-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL5455927W,statement
Q101582827,Q101582827,P577,1906-01-01T00:00:00Z,,1891-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL5455927W,statement
Q101987239,Q101987239,P577,2016-01-01T00:00:00Z,,2014-11-02T00:00:00+00:00Z,https://openlibrary.org/works/OL17860744W,statement
Q102077155,Q102077155,P577,1943-01-01T00:00:00Z,,1934-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL1160090W,statement
Q102292128,Q102292128,P577,1902-01-01T00:00:00Z,,1920-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL10364578W,statement
Q10274701,Q10274701,P577,2006-01-01T00:00:00Z,,2006-09-01T00:00:00+00:00Z,https://openlibrary.org/works/OL6238046W,statement
Q1027487,Q1027487,P577,1938-01-01T00:00:00Z,,1986-01-01T00:00:00+00:00Z,https://openlibrary.org/works/OL16056950W,statement
Q1031337,Q1031337,P577,1998-01-01T00:00:00Z,,1999-04-15T00:00:00+00:00Z,https://openlibrary.org/works/OL1882193W,statement
