"item","openLibraryID","publicationDate"
"Q1000352","OL15631942W","2010-09-14T00:00:00Z"
"Q1000802","OL137253W","2005-01-01T00:00:00Z"
"Q100154270","OL187467W","1960-01-01T00:00:00Z"
"Q100202821","OL8704115W","1960-01-01T00:00:00Z"
"Q100233719","OL1317805W","1904-01-01T00:00:00Z"
"Q1002362","OL14869543W","1866-01-01T00:00:00Z"
"Q100263902","OL8124861W","1992-02-01T00:00:00Z"
"Q100263968","OL8124866W","1992-09-01T00:00:00Z"
"Q100264023","OL8124862W","1992-01-01T00:00:00Z"
"Q100264184","OL3490914W","1994-01-01T00:00:00Z"
"Q100264684","OL15971548W","1997-01-01T00:00:00Z"
"Q1002647","OL8688184W","2006-10-01T00:00:00Z"
"Q100264912","OL17387833W","2009-01-01T00:00:00Z"
"Q100272846","OL15737312W","1920-01-01T00:00:00Z"
"Q100272846","OL15737312W","1920-09-20T00:00:00Z"
"Q100274026","OL5901004W","1977-01-01T00:00:00Z"
"Q1003234","OL2463054W","1985-01-01T00:00:00Z"
"Q100328625","OL3398342W","1981-06-01T00:00:00Z"
"Q100328963","OL5125383W","1971-01-01T00:00:00Z"
"Q100354211","OL1704780W","2008-01-01T00:00:00Z"
"Q1003847","OL476867W","2004-01-01T00:00:00Z"
"Q100387696","OL2547319W","1984-01-01T00:00:00Z"
"Q1004005","OL15101239W","1996-01-01T00:00:00Z"
"Q1004005","OL15101239W","1996-12-19T00:00:00Z"
"Q100400762","OL1921852W","1978-11-01T00:00:00Z"
"Q100510114","OL1320578W","1930-01-01T00:00:00Z"
"Q100510868","OL1320574W","1946-01-01T00:00:00Z"
"Q100532141","OL18426019W","1998-01-01T00:00:00Z"
"Q100540380","OL20735675W","2020-05-05T00:00:00Z"
"Q100635332","OL22662641W","1918-01-01T00:00:00Z"
"Q100635524","OL20077506W","1922-01-01T00:00:00Z"
"Q100739426","OL3125780W","1994-01-01T00:00:00Z"
"Q100742558","OL25370128W","2003-08-20T00:00:00Z"
"Q100899081","OL20558538W","2018-01-01T00:00:00Z"
