"item","openLibraryID","publicationDate"
"Q3227190","OL8986272W","1974-01-01T00:00:00Z"
"Q3227264","OL960914W","1998-01-01T00:00:00Z"
"Q3227269","OL9992494W","2004-08-01T00:00:00Z"
"Q3227336","OL5275511W","2009-08-04T00:00:00Z"
"Q3227396","OL5683447W","2008-01-01T00:00:00Z"
"Q3227410","OL16079112W","1955-09-06T00:00:00Z"
"Q3227450","OL13688401W","2009-04-01T00:00:00Z"
"Q3227494","OL1860101W","1998-01-01T00:00:00Z"
"Q3227651","OL14873099W","1995-09-06T00:00:00Z"
"Q3227753","OL1242862W","1961-01-01T00:00:00Z"
"Q3227764","OL836550W","1983-09-07T00:00:00Z"
"Q3227775","OL8066623W","2001-01-01T00:00:00Z"
"Q3227853","OL836964W","1991-01-01T00:00:00Z"
"Q3227858","OL15413754W","2010-02-01T00:00:00Z"
"Q3227879","OL3521965W","1972-08-01T00:00:00Z"
"Q3227887","OL1752362W","1992-01-01T00:00:00Z"
"Q3227916","OL15125177W","2006-01-01T00:00:00Z"
"Q3227971","OL17730525W","1985-01-01T00:00:00Z"
"Q3227984","OL101950W","1964-01-01T00:00:00Z"
"Q3228057","OL11074011W","1989-09-01T00:00:00Z"
"Q3228086","OL12379515W","2007-02-21T00:00:00Z"
"Q3228163","OL16201889W","2008-01-01T00:00:00Z"
"Q3228178","OL2071387W","1979-01-01T00:00:00Z"
"Q3228274","OL19248W","1993-10-25T00:00:00Z"
"Q3228286","OL678699W","2001-08-01T00:00:00Z"
"Q3228312","OL11466820W","1944-01-01T00:00:00Z"
"Q3228346","OL2664820W","1972-01-01T00:00:00Z"
"Q3228351","OL11314120W","1948-01-01T00:00:00Z"
"Q3228351","OL15412027W","1948-01-01T00:00:00Z"
"Q3228362","OL1749108W","1988-08-25T00:00:00Z"
"Q3229403","OL16625009W","2010-01-01T00:00:00Z"
"Q3230451","OL16498416W","2011-01-01T00:00:00Z"
"Q3230470","OL1704025W","1987-05-04T00:00:00Z"
"Q3230570","OL2204268W","1990-08-02T00:00:00Z"
"Q3230587","OL1242818W","1963-01-01T00:00:00Z"
"Q3230589","OL4581459W","1981-09-01T00:00:00Z"
"Q3230623","OL1357345W","1992-01-01T00:00:00Z"
"Q3230734","OL2059755W","1996-01-01T00:00:00Z"
"Q3231091","OL1324777W","1984-01-01T00:00:00Z"
"Q3231122","OL742757W","1972-01-01T00:00:00Z"
"Q3231147","OL8995076W","1995-08-24T00:00:00Z"
"Q3231358","OL2174141W","1990-08-31T00:00:00Z"
"Q3231451","OL14960177W","2005-09-01T00:00:00Z"
"Q323146","OL1916939W","1998-01-01T00:00:00Z"
"Q3231594","OL999053W","1981-01-01T00:00:00Z"
"Q3231611","OL1819365W","1975-01-01T00:00:00Z"
"Q3231673","OL17192648W","1989-09-01T00:00:00Z"
"Q3231781","OL1387925W","1971-03-01T00:00:00Z"
"Q3231785","OL2175034W","1993-08-27T00:00:00Z"
"Q3231787","OL2293251W","1998-09-02T00:00:00Z"
"Q3231809","OL1407997W","1984-09-19T00:00:00Z"
"Q3231843","OL80947W","1951-01-01T00:00:00Z"
"Q3231919","OL10673102W","1994-09-06T00:00:00Z"
